Column1,TRAJECT_ID,waterschap,lengte,Type,Status,Kosten_VR_norm_2075,Kosten_VR_opt,Kosten_ref_norm_2075
93,82-1,Waterschap Limburg,810677,Dijk,,,,
47,8-3,Waterschap Zuiderzeeland,22766497,Dijk,,,,
194,83-1,Waterschap Limburg,1399809,Dijk,,,,
104,8-4,Waterschap Zuiderzeeland,21764405,Dijk,,,,
189,84-1,Waterschap Limburg,121812,Dijk,,,,
199,8-5,Waterschap Zuiderzeeland,15851269,Dijk,,,,
239,85-1,Waterschap Limburg,270513,Dijk,,,,
48,8-6,Waterschap Zuiderzeeland,1295747,Dijk,,,,
120,86-1,Waterschap Limburg,1539166,Dijk,,,,
79,8-7,Waterschap Zuiderzeeland,16089347,Dijk,,,,
96,87-1,Waterschap Limburg,5472142,Dijk,,,,
85,88-1,Waterschap Limburg,2685682,Dijk,,,,
135,89-1,Waterschap Limburg,692901,Dijk,,,,
92,90-1,Waterschap Limburg,7025388,Dijk,,,,
160,9-1,Waterschap Drents Overijsselse Delta,38990066,Dijk,Gepland,,,
140,91-1,Waterschap Limburg,3483553,Dijk,,,,
250,9-2,Waterschap Drents Overijsselse Delta,8058346,Dijk,Gepland,,,
205,92-1,Waterschap Limburg,3381328,Dijk,,,,
155,93-1,Waterschap Limburg,2600115,Dijk,,,,
197,94-1,Waterschap Limburg,888024,Dijk,,,,
38,95-1,Waterschap Limburg,107852,Dijk,,,,
